Year,State,Energy Price
1995,HI,5.21
1995,IA,4.97
1995,ID,5.15
1995,IL,5.34
1995,IN,5.28
1995,KS,4.94
1995,KY,4.91
1995,LA,4.08
1995,MA,5.55
1995,MD,4.8
1995,ME,5.16
1995,MI,5.53
1995,MN,5.09
1995,MO,4.91
1995,MS,4.19
1995,MT,4.82
1995,NC,5.08
1995,ND,4.24
1995,NE,4.5
1995,NH,5.12
1995,NJ,5.22
1995,NM,4.16
1995,NV,4.39
1995,NY,5.38
1995,OH,5.47
1995,OK,4.95
1995,OR,5.01
1995,PA,5.85
1995,RI,4.96
1995,SC,5.05
1995,SD,4.83
1995,TN,5.02
1995,TX,4.16
1995,US,5.21
1995,UT,4.84
1995,VA,5.2
1995,VT,4.66
1995,WA,5.18
1995,WI,4.94
1995,WV,5.32
1995,WY,4.54
1996,AK,5.02
1996,AL,5.0
1996,AR,5.13
1996,AZ,5.53
1996,CA,6.11
1996,CO,5.57
1996,CT,6.65
1996,DC,5.9
1996,DE,5.38
1996,FL,5.78
1996,GA,5.76
1996,HI,5.95
1996,IA,5.62
1996,ID,6.04
1996,IL,6.31
1996,IN,5.64
1996,KS,5.78
1996,KY,5.44
1996,LA,4.89
1996,MA,6.44
1996,MD,5.57
1996,ME,6.14
1996,MI,6.32
1996,MN,5.93
1996,MO,5.88
1996,MS,5.03
1996,MT,4.74
1996,NC,5.85
1996,ND,5.05
1996,NE,5.11
1996,NH,6.28
1996,NJ,5.92
1996,NM,5.04
1996,NV,5.33
1996,NY,6.03
1996,OH,6.01
1996,OK,5.51
1996,OR,5.41
